wav_name	transcription	translation
10_0001.wav	عەرزی تۆ بکەم	I'll make your floor
10_0002.wav	دەڵێ ژنی باش	"She says, ""A good wife""."
10_0003.wav	ژنی واش	His wife
10_0004.wav	یانی ژنی ئاواش و ژنی باشیش	And a good woman, and a good wife,
10_0005.wav	کابرایەک تەمەنی	A young man of his age
10_0006.wav	هەشتا ساڵ هەشتا و پێنج ساڵ دەبوو	He would have been eighty-five years old.
10_0007.wav	لە قاوەخانەی ئەو بەسەرهاتەی بۆ گێڕامەوە	At the coffee shop, she told me her story.
10_0008.wav	کابرا کوتی کوتی چ حێڵ بووم تازە خەتی سمێڵی دابوو تازە دەگەیشتمە کوتی لە لای کوولی جێرا لە مەحاڵی مەهاباد هێرا	I was just arriving at a cottage on the outskirts of Kuala Jera in the Mahabharat district.
10_0009.wav	بارە ڕژیم دەبر بۆ	I'm going to be deported.
10_0010.wav	لای سەر دەشتێ	The side of the head.
10_0011.wav	لەوێ ڕژێیەکەم دەفرۆشت	That's where I used to sell my candy.
10_0012.wav	دەمدا بە ترێ و تریەکەم دێناوە لێرە تریەکەم دەفرۆشت کابرا گوتی ئاوە دەمگوزەراند	"I'd sell my grapes, and here's the other one. Cabra said, ""I'm going through water""."
10_0013.wav	وتی هەموو کەرەنتی لێرە چوار بار پێنج بارم بە گوێ درێژیان دەبرد بۆ سەر دەشتی	He said all the quarantines here were carrying four or five long-ears to the shore.
10_0014.wav	ڕژی .	Red.
10_0015.wav	هەرزی تۆ بکەم کوتی	I'm going to kill you, Cutie.
10_0016.wav	کابرا کوتی ڕۆژێکی لێرە بارە ڕژیم بردبووە سەر دەشتێ کوتی لە دێهاتی سەر دەشتێ	Kabra Kutty One day I was living here and I went to the village of Kutty in the countryside.
10_0017.wav	ئێوارە بوو سەعات چوار و پێنجی ئێوارەی بوو خەریک بووی تاوپەڕێ	It was four or five o'clock in the evening, and it was almost over.
10_0018.wav	باران دایدایە وەک گۆزەی سەرا و ژیرە باران دەباری	It was raining like a pot of corn, and it was pouring rain.
10_0019.wav	پێم درێژە ئە و ڕژێم پێ دەهاتە خوارێ هەموو جەستەم ڕەش بوو ئەو بارانە لێی دەدا دەهاتە خوارێ	I'm longing for the regime to bring me down. My whole body is black. It's raining down on me.
10_0020.wav	وتی لەو دێیەی لە هەست دەرکێکیم دەدا هیچ کەس ڕای نەدەگرم ئی وا بوو دەیگوت کاکە جێگای خۆتمان هەیە جێگای گوێ درێژەکانمان نییە ئی وا بوو دەیگوت جێگای گوێ درێژەکان	"She said that when I felt like I was going to get out, no one would run. She was like, ""We've got our own bed, we don't have our own long-eared beds""."
10_0021.wav	کارمان هەیە جێی خۆتمان نییە	We have a job. We don't belong here.
10_0022.wav	تی لە کوچە دەهاتمە خوارێ	I was coming down the street.
10_0023.wav	لەبەر خۆمەوە هەر جنێوم لە داهات دەمکوت بە قورەش گرێویدی یەک مانگ ڕای نەگرتم	I thought I'd lost every penny of my income, and I didn't make a month's salary.
10_0024.wav	وتی کوڕێکی جەهل تووش بوو گوتی مامەوە بۆ کوێ دەچی کاکەوە بۆ کوێ دەچی	"He said, ""A foolish boy was infected"". He asked, ""Where are you going?"""
10_0025.wav	بەو شەوەی	That night
10_0026.wav	گوتم وەڵا لەو دێیەی لە دەرکەی هەر ماڵێکیم داوە هیچ کەس ڕای نەگرتووە	"I said, ""No, I've been knocking on every door, and no one's touched it""."
10_0027.wav	کوتیانی لە دەرکەی مەش داوە گوتم وەڵا ئای پی مان لە دەرکەی هەموو کەسم داوە	"He gave me the keys to the door. I said, ""Well, I've given you the IP address of everyone""."
10_0028.wav	کوڕە کوتیاکە خوماڵە	That son of a bitch sucks.
10_0029.wav	نۆکەری خۆت لێرەیە چۆن دەڕۆیت بەو شوەی	Here's your waiter. How do you get there?
10_0030.wav	وەرە هەم جێگای خۆتمان هەیە هەم جێگای گوێدرێژەکانمان هەیە	Come on, we've got room for you and room for the audience.
10_0031.wav	هەرچی تۆ بکەم کوتی کوڕەوە پێشم کەوت	Whatever I do to you, little boy, I like it.
10_0032.wav	ئەگەر چووین لەو سەری دێ لە غەراغ دێ	If we go over there, it's going to flood.
10_0033.wav	ماڵە کوڕەی لەوێ بوو هەسارێکی گەورەی هەبوو لە هەسارەکەیدا	The boy's home was there. There was a big planet in his planet.
10_0034.wav	حەوز و کانی و ئاوێکی خۆشی تێدا بوو	where there were pools and springs and fresh water.
10_0035.wav	ئتی بارانیش دەباری چ باران باری	It's raining and it's not raining.
10_0036.wav	بەڵا کوتی لە حەساری کوڕی گوێ درێژەکانمان بەستەوە و کوتی چووینە ژووریە کوتی ئەگەر چووینە ژووریە کوڕە هەر دیوێک و	It's just a little bit of our long ears, and then we go into the room, and if we go in the room it's a little boy, every time.
10_0037.wav	پێشخانێکی هەبوو	There was a front room.
10_0038.wav	ئەمە گوتی ژنێکی هەبوو ژنەکەی هێندە جوان بوو نەبێتەوە	This said that there was a woman whose wife was not so beautiful.
10_0039.wav	کابرا کوتی من زەحێڵ بووم	Cabra Cootie, I was poor.
10_0040.wav	کوتی کوڕە	It's a little boy.
10_0041.wav	ژنە شامی ساز کرد شاممان خوارد و	The woman made us dinner and we ate.
10_0042.wav	کوڕۆک تیجا کاکە گیان	I'm going to kill you.
10_0043.wav	ئەتۆ بۆ خۆت ئەلێرە لێی بنوو هەتا بەیانی	And thou shalt keep it for thyself, and lie therein until the morning.
10_0044.wav	هەمیشە دەڕۆم کوتم کاکە بۆ چوە دەڕۆی	I'm always going to kill you. Where are you going?
10_0045.wav	گوتی وەڵا من ئاشەوانم لە خوارێ نیگابانی ئاشی مەلحان	"She said, ""Well, I'm a housekeeper under the watchful eye of Ashi Malhan""."
10_0046.wav	دییە بچمەوە ئاشی باراشم لەوێ ماونەوە دییە بچمە باراشی دەکەم	I'm going to go and get the rain. I'll stay there.
10_0047.wav	خلەسە	It's all right.
10_0048.wav	کابرا گێڕایەوە کوتی	Kabra narrated by Koti
10_0049.wav	هەر ئە و دیوەشیان هەبوو	They had the same look.
10_0050.wav	لەگەڵ پێشخانەکەی گوتی پێشخانەکەش بەوەی نەدەدا کەسی لێ بینێتەوە	She told me about the museum, and the museum told me that no one could see it.
10_0051.wav	وتی ژنە ئایدلەوە هۆلوەی نووست و کتێبیش لە لای سەر ئەنوست	"She said, ""Aidel slept in the hallway with her book by her anus""."
10_0052.wav	ڕەحەزی تۆ بکەم کوتی	I'm going to kill you, Cutie.
10_0053.wav	شەیتان جەللەی پێ کردم	The devil has tormented me.
10_0054.wav	سواری سەرم بوو گوتی	She was riding on my head, and she said,
10_0055.wav	تیرەی گوزان بووە ژنوکی سەعات بووە	A deer's tail has become a woman's watch.
10_0056.wav	دوازدە شەوی خودا هەر چ بکەم چ نەکەم	God's twelve nights, no matter what I do
10_0057.wav	تی هەستم	I feel it.
10_0058.wav	شەیتان هاتە دەرەوە هەستم	The devil came out. I feel it.
10_0059.wav	دی ژنە ڕاس باوکی چی ئەکستەکەی	What did her father do to her?
10_0060.wav	گوتم مەلا کاری دەرێم هەیە دەڕۆمە دەرێ	"I said, ""Mamma, I've got work to do. I'm going out""."
10_0061.wav	گوتی چوومە دەرێ هێڵێک لە دەرێ بووم کارم نەبوو هاتمەوە ژوورێ	"She said, ""I went out, I was in a line, I didn't have a job, I came in""."
10_0062.wav	چوومەوە جێگای ئەغزام سەعاتێک نیو سەعاتێکی گوتی دووبارە	I went to Agamemnon's bed. An hour and a half later, he said again.
10_0063.wav	شەیتانی جەدڵەی پێ کردم گوتی هەستم	"The devil challenged me and said, ""I'm awake""."
10_0064.wav	پیژنە هەر بەخەبەر بووی کەک ستەکەی	I don't know. He just woke up with his cake set.
10_0065.wav	گوتم ئەڵا هیچ کاری دەرێم هەیە	"I said, ""I don't have a job""."
10_0066.wav	چی چوومە دەرێ هێڵێک لە دەرێ بم و هاتمەوە	What I went out to be a line out and come back
10_0067.wav	ئەما کوتی باران لێی کردبۆوە	It was raining cats and dogs.
10_0068.wav	کوتی تفت هەڵاویش پادەی بەستەوە هێندە هەواکەی سارد بوو	And the coat of a tuft of wool froze, and the air was so cold.
10_0069.wav	والله کوتی خلاس چوومە جێگا غەزام	I went to bed in my bathtub.
10_0070.wav	کوتی گوتم ئە و جار هەستمەو کوتی ستەکەی	"I said, ""That's it"". And then I felt it."
10_0071.wav	دەڵێم وەڵا ئەو کارەم هەیە	"I say, ""Well, I have that job""."
10_0072.wav	عەرزی تۆ بکەم	I'll make your floor
10_0073.wav	کوتی سەعات بۆ یەک و نیو دوو شەوێ	Hourly allowance for one and a half to two nights
10_0074.wav	چی دووبارە هەستم کرد ئەگەر هەستم ژنە	What would I feel again if I felt like a woman?
10_0075.wav	خەبەرە کیە کەس تە کەی	You know who you are, don't you?
10_0076.wav	وەڵا کارێکی ئەوەم هەیە	Well, I have a job to do.
10_0077.wav	گوتی ژنە کوڕم تکا کە ختووە ئەو مێردەی من لە تۆی ڕادیوە و	"She said, ""Woman, I beg you, let my son be lifted up, for my husband has left you""."
10_0078.wav	چۆن شتی ئەدەبێ گوتی گوتم ئیلام بیلان لە کۆڵ نامەوە	How did she say that? She told me that I wouldn't give up on Elam Bilan.
10_0079.wav	گوتی ژنە گوتی ئەمن جوانم وایە گوتم ئەرێ وەڵا هیچ جوانیی نەبێتەوە	"She said, ""I'm beautiful"". I thought, ""Oh, she's not beautiful""."
10_0080.wav	گوتی ژن کوتی تۆش هەموو گیانت ڕژاوێ و هەموو گیانت چڵکنە و	"She said, ""You too, woman, you're going to lose your life and your life will be ruined""."
10_0081.wav	جا ئەگەر هەر ئەو کارەم لەگەڵ دەکەی یەک وا بچۆ حەسارییە	So if I'm going to do anything to you, it's going to be hard.
10_0082.wav	کوتی هەسارەکان حەوز و کانێکی لێ بوو	The planetarium had a pool and a mine.
10_0083.wav	تیپ چوو حەسارێ لە و ئاوەی دا	The team went into the water.
10_0084.wav	پاک پاک خۆ بشۆ جا وەرەوە	Clean yourself up and come back.
10_0085.wav	لە خۆشیان گوتی هەر لە پێشخانەی لیباسەکانم داکەند و	"They said to each other, ""She's already put my clothes in the dressing room""."
10_0086.wav	کوتی چووم لە حەسارێ خۆم داوی هەڵچشا کوتی خۆم شوت بەو ئاوە ساردەی	I went to my coat in my closet, I put it on my pillow, I showered it in cold water.
10_0087.wav	ئەمام کوتی	This is a short one.
10_0088.wav	هێندەی هەواکەی سارد بوو پێت من گەرمدا هاتبووم هۆشم نەبوو	As cold as the air was to you, I came in hot, I was unconscious.
10_0089.wav	هاتم پاڵم بە دەرکەی چێشتخانەیەوە نادرکە چەتەی نەدەکرد	I walked out the kitchen door. He didn't look at me.
10_0090.wav	مە کوتی پێش خانەی	Don't sit in front of the cell.
10_0091.wav	دە پازدە تای	Ten fifteen circles
10_0092.wav	گەنم لێبوو تیژنەش بەقەوت بوو هەر تا گەنمەکانی هێنابوو بە دەرکەیەوە نابوو	I had wheat, and the blade was sharp, and it wouldn't come out until I brought the wheat.
10_0093.wav	دەرکەی لەسەر داخست بوون	The door was locked.
10_0094.wav	کورتم.	I'm short.
10_0095.wav	دایکت چاک بابت چاک دەرکەم لێ بکەوە	Your mother's fine, I'll get it out of her.
10_0096.wav	هەر لیباسەکان بۆ بایەپشت دەرکەی	All the clothes are for the wind.
10_0097.wav	گوتی ژنە گوتی سەگ باب ئەوداسێکم بە دەستەوەیە خەستەم بە خودای	"The woman said, ""Dog, I'm holding a candle in my hand to God""."
10_0098.wav	هەر بەو لایەی یەک دەستت لە ڕێی سیملی دەدەم	I'm going to hit you on one side with a hammer.
10_0099.wav	پێ ترسی ژنی.	Afraid of his wife.
10_0100.wav	نەمدەوێ ئەگەڕێم بۆ لای دەرکێش	I don't want to look out the window.
10_0101.wav	کوتی ئە و جارە وانێکم لێ شاربۆوە	I've just been to one of those lectures.
10_0102.wav	دی هەوام دێ سحر بۆ خۆلاسە کوتی وەختە بوو سەرما بمبا کوتی ئەگەر هەڵاتمە دەریا	The wind would blow me to dust. It was a bad day. It would be bad if I escaped to the sea.
10_0103.wav	کۆپەینێکی لێ بوو	There was a coupon.
10_0104.wav	کوتی ئەگەر دڕیم چوومە ئەدۆ کۆپەیەوە دەیگوت هەتا	"If I went crazy, he'd say, ""I'm going crazy""."
10_0105.wav	ملم دەپەینی دابووم	I've been looking at it.
