wav_name	transcription	translation
9_0001.wav	گۆڕ گۆڕستانی دارەبنییە	Darban Cemetery
9_0002.wav	گۆڕستانێکە بە سامە لە نێوان کۆنە دێ و لاچینی هەڵکەوتووە	It's a poisoned cemetery lying between the old village and Lachine.
9_0003.wav	جا دەڵێن:	So they say,
9_0004.wav	بەسامە دییە بە ڕۆژ پیا بچێتە نێو گۆڕستانەی	It's hard enough to go to the cemetery every day.
9_0005.wav	چەندە دۆڵ درێژە ئەم پیاوە بڕە	How long does this man have to walk?
9_0006.wav	خۆفی ڕێ دانیشییە و دەترسییە	She's nervous and scared.
9_0007.wav	هەرجی تۆ کەم	Your teenage years are low
9_0008.wav	دەیانکوت لەولا چینەی فەقێیەکی لێبوو فەقێیە	"They said, ""There's a cigarette case on top of it""."
9_0009.wav	دی کوت فەقیە	D. Cut is a physicist.
9_0010.wav	کچی کابرایەکی خۆش دەویست	He was in love with a poor girl.
9_0011.wav	کچی کابرایەکی خۆش دەویست	He was in love with a poor girl.
9_0012.wav	دی چووە ماڵە کابرا کوتی کاکە	He went to the house of Kabra Koti Kakka.
9_0013.wav	من ئە و کچەی تۆم خۆش دەوێ و	I love your daughter.
9_0014.wav	ئێستا تۆش پیاوە تێبکە و کچەم دەیە	Now you understand, man, and I have a daughter.
9_0015.wav	تیکە برەش	It's a broomstick.
9_0016.wav	زۆر قومارباز بوو دەیزانی	He was a big gambler, you know.
9_0017.wav	ئەگە ئەو گۆڕستانە بە بە شەو زۆر بەسامە و	I've had enough of those cemeteries at night.
9_0018.wav	فەقیە ژناوێرە بچێتە نێو گۆڕستانە جا گوتی فەقیە من گرێوێکت لەگەڵ دەکەم مەرجێکت لەگەڵ دەکەم	"The woman went to the cemetery and said, ""I'm going to make a deal with you""."
9_0019.wav	ئەتۆ ئەگەر شەوێ چوویە نێو ئەو قەبرانە و	If you went into those tombs at night,
9_0020.wav	سنگێکت لەنێو قەبراندا داکوتا و هاتێوە وێرات ئەو کارەی بکەی	Thy neck is cut in the grave, and thou art left to do thy work.
9_0021.wav	هەموو کسەکەی خۆتم دەدەمێ	I'll give it all I've got.
9_0022.wav	ئەگەر نەشت بێرە ئەو کارەی بکەی	If you don't, you can do it.
9_0023.wav	ئە و بە درچیم دا بێ سەگت پێوە دەنێم	I'll give you a dog without my chin.
9_0024.wav	گوتی فەقێ زۆر دەترسا لەو گۆڕستانەی بەڵام دڵیشی زۆر بە کچەیەوە بوو	She said she was terrified of the cemetery, but her heart was very fond of her daughter.
9_0025.wav	هەستا بە ترس و لەرز	Peter stood up, terrified and trembling.
9_0026.wav	ڕووی بۆ نێو قەبران	He turned and went into the tomb,
9_0027.wav	سینگەی داکوتا لەوێ دایکوتا دایکوتا سینگەی تەواوی داکوتا لە هەر شوێنێک بوو	The Dakota breasts were there. The whole Dakota breast was everywhere.
9_0028.wav	هەستا ئەگەڤێتەوە	He stood up and followed me.
9_0029.wav	ئەگەر تەماشای کردوون شاخ هەلیان گرتووە	If you look at them, they've got a mountain of elephants.
9_0030.wav	ئێشک تون شاقەلی گر	Tonsillary gland
9_0031.wav	دەیانگوت فەقێ لەوێ گیانی دەرچوو بەیانی ئەگەر دەچن تەماشادەکەن	They're going to say he died there in the morning if you go to see him.
9_0032.wav	کەس شاقەلی نەگرتووە	No one has taken the shekel.
9_0033.wav	هەر سینگەکەی لەسەر شاقەلی خۆی داکوتا بوو	Every inch of her chest was on her shoulders.
9_0034.wav	ئەگەر هەستا و بێتەوە	If he gets up and gets up
9_0035.wav	سینگە	Breast
9_0036.wav	شاخەلی گرتبوو	He was holding a rope.
9_0037.wav	سینگ دەزانی بە چی دەڵێ میدی	Singh, you know what she calls Midhi.
9_0038.wav	وەلا لە ترسانەوەیش لەوێ دەڵێ تۆقیبوو	And in his panic, he says he was tortured.
9_0039.wav	دەیان کوت.	They're cutting them.
9_0040.wav	لە چینی وەعشەری گۆڕستانی دارە بە نێ جایدەوە	It's in the basement of a wooden cemetery.
9_0041.wav	ئەمن لە پیاوی پیرانم بیستووە هەتا کن هەتا کوێی	This is what I have heard from the old man, from whence he came, and whither he goes.
9_0042.wav	ڕاستە یا هەتا کوێی دایان ناوە	That's right, wherever they put it.
9_0043.wav	ئەوە نازانم چۆنە خلاصە حەزی تۆ بکەم	I don't know what it's like to like you.
9_0044.wav	گوتیان بیۆ ژنێکی لێ بوو بیۆ ژن لەو لا چینەی	"They said, ""There was a woman there""."
9_0045.wav	دی کوت بی وەژنە	D. Cut B and W.
9_0046.wav	کچێکی زۆر جوان و جحەیلی هەبوو بەڵام بیوەژنە	He had a very beautiful daughter, but she was widowed.
9_0047.wav	قەرە بوو ڕەشایی بوو نە زەمینی هەبوو	He was black. He had no land.
9_0048.wav	نە جووت بەندە بوو	It wasn't tied.
9_0049.wav	تی کابرایەکیش لێبوو کابرا زۆر دەوڵەمەند بوو	And there was a young man, and he was very rich.
9_0050.wav	دوو جووت سێ جووتیگا هەبوو	There were two pairs, three pairs.
9_0051.wav	کوڕی کابرای ئیشتیای چوو بۆ کچی ئە و بێئۆژنەی	And Ishta'i the son of Kabrah went in to the daughter of A'az, and she was uncircumcised.
9_0052.wav	خوڵاسە	It's all right.
9_0053.wav	ئەگەر ئیستای چوو بۆ کچی ئەو بێوەژنەی	If I go to the widow's daughter,
9_0054.wav	کابراش دەڵێ	Kabir also says:
9_0055.wav	ببی و ژنەی دەڵێ دەڵێ	You and the woman who says she says
9_0056.wav	دەبی ئە و کچە تەم دێی	You see, she's a cool girl.
9_0057.wav	گرێوێ دەکەن دەگەڵ کابرای گرێوێ دەکەن	They're betting, they're making a bet.
9_0058.wav	ببی وەژنەی دەڵێ دەڵێ تۆ کە شەوێ وێرات	Be the woman who says she says you'll leave that night
9_0059.wav	بچێ نێو گۆڕستانیە نێو قەبرستانیە	Go to the cemetery in the graveyard.
9_0060.wav	ناو قەبرستانی دارە بەنیا	The name of the cemetery is Benia Wood
9_0061.wav	پچی ئەگەر ئێرات پچی لەوێ چای لێنەی و نانی بخۆی و	So if you're here, why don't you have a cup of tea and some bread?
9_0062.wav	بێ وەیرە	This is ridiculous.
9_0063.wav	ئەوە من جووتێک گا دەدەم یا	That's me kicking a couple of asses.
9_0064.wav	بەڵام ئەگەر نەشت وێرە بچی ئەو کارەی بکەی دەتەوێت کچەکەت بدەی بە کوڕەکەم	But if you don't, go do whatever you want. Give your daughter to my son.
9_0065.wav	بەڵێ ئە و مەرجەی دەبەستنە ئە و گرێوەی دەکەن	Yes, they're bound by the terms of the contract.
9_0066.wav	ژنە دەڵێ باشە کابرا	"The woman says, ""Okay, Cabra""."
9_0067.wav	ئەوەندە لە خۆی خاترجم بوو دەیگوت ئەو ژنە ناوێیە بچێ ئەو کارەی بکا بچێ لەوێ چاوی لێ نییە بچێ لەوێ شەو نانی بخۆ و بێتەوە	"I was so frightened of her, she would say, ""She doesn't want to go to work, she won't go there, she can't see you, she'll go to dinner and come back""."
9_0068.wav	حەتمەن کسەکەی	I don't even know what it is.
9_0069.wav	دەدا بە کوڕەکەم	I would give it to my son.
9_0070.wav	بەڵێ ژنە	Yes, she is.
9_0071.wav	کەتێی پڕ کرد لە ئاو و نان و چای پێچاوە نانی دەتووری بێ ناچولینی و گۆڕستانی	He filled the container with water, bread, and roasted tea. He baked the unleavened bread and buried it.
9_0072.wav	ئاوری هەڵکرد چای وە سەرنا	Auri made the tea and baked it.
9_0073.wav	چاکوڵی چای دێم کرد	I'll make some tea.
9_0074.wav	دەستی کرد بە نان خواردنێ جا	He began to eat bread.
9_0075.wav	ئەگەر لەوێ ئاورەکە دایسا لەنێو قەبران	If he put the ashes there among the graves
9_0076.wav	کابرا ژ ئەگەر چوو سەرتە ئە و تەپکەیەی ئۆباری چاوی دەکرد لەنێو قەبران ئاوردای سییە	Cabra, if you go up there, you're looking at an oboe. It's buried in the lungs.
