wav_name	transcription	translation
6_0001.wav	کاک میرزادەڵا فەقێیەک بوو فەتاق و دوین مەکری ژنان دەکەوێت	Mr. Mirzadalla was a smoker, a man of few words, and a woman's best friend.
6_0002.wav	فەقێ لەودێ بۆدێ لەودێ بۆدێ لەودێ بۆدێ چەند کتێبی نووسیبوون کتێب ئا ئەوەندە	They've written a few books. That's it.
6_0003.wav	مەلا ڕەجایی	Mala is a native.
6_0004.wav	دەدەیەکی دەکەوێ	He wants a stick.
6_0005.wav	دەڵێ ئەوە چییە تۆ داینووسی دەڵێ وەڵا مەکریژ ناکە	"He says, ""What's that?"" You write, ""No, it doesn't matter""."
6_0006.wav	ژنێکی زۆر جوان دەڵێ بابە لال لە مەکری ژنان دەمردێ خودای بە پیاوی چاک بە کوڕە تۆ بەرگەی مەکری ژنان ناگری	"A very beautiful woman says, ""Baby, you don't want to die in a woman's womb. God gave you a good man, son. You can't stand the womb of a woman""."
6_0007.wav	ئێستا مەکرێکت لێبکەن بە خودای مەڤحەت دەکەنەوە نە کتێبت دێڵن نە قەڵەمت دێڵن نە بۆخۆت دێڵن کوتی دەڵێم تاڵە سوێندم خواردووە شەرتم کردوە لەگەڵ	Now they're going to make fun of you. They're not going to tell you about your book, or your pen, or about yourself.
6_0008.wav	ەە	It is.
6_0009.wav	دەگەل خوڵای خۆم دەگەل تایفەی خۆم ئەمن شەرتم کردووە	I'm ashamed of myself and my family.
6_0010.wav	حەتتا بمێنم مەکریژدان دەنووسم	As long as I live, I'm going to write a diary.
6_0011.wav	بەڵێ زۆر باشە	Yes, very good.
6_0012.wav	پڵەسە	The pulse.
6_0013.wav	بەڵا قسەی ژنی زۆر پێ خۆش دەبی	He likes to talk to his wife.
6_0014.wav	دی دەپرسێ دەڵێ تۆ ئاوات جوانی	"He asks. She says, ""You're a beautiful wish""."
6_0015.wav	سەعەبوشتت هەیە	You've got a dance floor.
6_0016.wav	دەڵێ وەڵا سەعابم هەیە بەڵام نەمبێ جادرە	"He says, ""Well, I'm a dancer, but I don't have to be""."
6_0017.wav	دەڵێ چۆن	He says how
6_0018.wav	واللهی دڵە قەت شێوەیەک لە ماڵ و حاڵی خۆی نییە و	A heartbeat is never a form of self-awareness.
6_0019.wav	شەوێک لە ئاشی و شەوێک نازانم لەکوێ و شەوێک لەکوێ و شەوێک لەکوێ وەلی کاروکاس بێ لەکوێ	One night in the ash, and one night I don't know where, one night where, and another night where the valley of the Caracas is.
6_0020.wav	دەبینی جاری وا بە مانگ دەستەکار کاریگەریە هەر نەهاتەوە لەو شارەی بەو شارەی لەو شارەی بەو شارەی	You can see that the time it takes to get to the moon is influenced by the fact that it doesn't come from that city, that town, that city.
6_0021.wav	دەڵێم پێت جوانە دەڵێی ئەرێ وەڵای لە وەتا ئەمن دەگەڕێم و ئەو کتێبانەم هەموو نووسیوە ژنی وەک تۆ نە قسە خۆش و نە جوانچاکم نەدیوە	"I'm telling you, you're beautiful. You're saying, ""Oh, here I am, looking for you"". And I've written all these books."
6_0022.wav	جادەڵە وەڵا زۆر باشە	The magic is very good.
6_0023.wav	ئەو شۆ میوانی چی	Who's the host?
6_0024.wav	دەڵێ وەڵای	"He says, ""Yes""."
6_0025.wav	ئەی خانەخوێت چییە لە لای خانەخوێ شتم نییە	What's the room next to my room? I don't have anything.
6_0026.wav	جادڵڵا شۆرە میوانی من بە	Madelaine Shore is my guest.
6_0027.wav	مێردەکەم کە لە ماڵ نییە	My husband is not at home
6_0028.wav	ڕەوشی میوانی من بە	The manners of my guests
6_0029.wav	ئەویش فەقێک کە دەزانێ	And he's a fool who knows.
6_0030.wav	ژنە ئاوە قسە خۆشە وەڵا دڵ و شۆکانت میوانی دەکەم	"""Woman, speak well, and I will entertain your heart and shoulders""."
6_0031.wav	بۆ دیارە عاشقم بووە	Apparently I'm in love.
6_0032.wav	ئاشقم بووە	I've been exposed
6_0033.wav	بڵێی ئێوارە لێی باتەوە ماڵێ و زۆر بە حیسابی و	Say you came home in the evening, and you've been doing a lot of calculating.
6_0034.wav	دەست بە.	Get started.
6_0035.wav	چێژ لە نان و شتی وا دەکا و	He enjoys bread and things like that.
6_0036.wav	فەقێ.	It's all right.
6_0037.wav	مێردەکەیەوە لە ئایشیە	Her husband is from Aisha.
6_0038.wav	مێردی ژنی.	His wife's husband.
6_0039.wav	ژنێ دێ و دەچیێ	A woman comes and goes.
6_0040.wav	فەقێ و عاشقی ژنەی بۆ دڵی دەتۆقێ لە تاوانی وەک قوتابیی شێت بێ	A woman's passion and love for her will plunge him into crime like a mad disciple.
6_0041.wav	وشیار لە وردانیش مەڵات دوو قومار دەکاین مەسەلەن بڕێک قومار دەکاین بڕێک جەفەگان لێ دەین بڕێک چ دەکاین کورە دڵە بابە ڕاوەستا ڕەش شێو و دوور و درێژ و کەس	We didn't just play a couple of games, we played a few games, and we hit a few shots, and what did we do?
6_0042.wav	کەسمان دەگەڵ دە ژوورێ دانێ دە دوا دا شتەکەی بکەی خۆ من ئاوە دەگەڵ	We'll let someone in, he'll put it in, and then you do your thing. I'll take the water.
6_0043.wav	قسەت دەگەڵ ناکەم	I won't stop you.
6_0044.wav	دڵ ئەدی حەمام بچۆ دە حەمامەوە ئە و لیباسانە دا کە نەدی دەستێک لیباس بۆ دێنم لیباسی تازە دەبەرکا	I'd go to the bathroom, and she'd give me her clothes, and if she didn't see a hand, I would give her some new clothes.
6_0045.wav	خۆت حەمام لەمیشکە ڕدێنیت تا شا حەتی لە خۆت دا و نازانم چی و ناشامێ دەکەی و چا و دەمی و شێوێنی دوور و درێژی پێکەوە گەلێک زەفەنگۆ وەلا و لا	I don't know what you're doing, and I'm not sure what you are doing, but I know what I am doing.
